Date,BR_IPCA
1980-01-01,6.61564916057387
1980-02-01,4.61691885303424
1980-03-01,6.03838866463464
1980-04-01,5.28611382402557
1980-05-01,5.70272065101669
1980-06-01,5.30530430706944
1980-07-01,5.54561209125259
1980-08-01,4.94558244282344
1980-09-01,4.23032531099046
1980-10-01,9.4805311984776
1980-11-01,6.67335975605188
1980-12-01,6.61408363651688
1981-01-01,6.83751111696695
1981-02-01,6.40114938276171
1981-03-01,4.97174813827477
1981-04-01,6.46206675720737
1981-05-01,5.55956004750076
1981-06-01,5.51778345450973
1981-07-01,6.25581958359716
1981-08-01,5.49579588921654
1981-09-01,5.25684049640323
1981-10-01,5.07755623863095
1981-11-01,5.27155769685728
1981-12-01,5.92541066937771
1982-01-01,6.97
1982-02-01,6.63669449796618
1982-03-01,5.71259019568477
1982-04-01,5.88733078811474
1982-05-01,6.65854295413002
1982-06-01,7.1049156490645
1982-07-01,6.35792506805384
1982-08-01,5.97286443069576
1982-09-01,5.08025991265231
1982-10-01,4.44241701172012
1982-11-01,5.28845435947976
1982-12-01,7.80591577510481
1983-01-01,8.64110031457763
1983-02-01,7.85814293174301
1983-03-01,7.34484921714165
1983-04-01,6.57925871889702
1983-05-01,6.48295911045147
1983-06-01,9.88034747269024
1983-07-01,10.0784385260854
1983-08-01,9.11121206320362
1983-09-01,10.3006011324368
1983-10-01,8.86655028717669
1983-11-01,7.38424120483205
1983-12-01,8.67709911366168
1984-01-01,9.66893843794649
1984-02-01,9.50073747527316
1984-03-01,8.93854835530752
1984-04-01,9.54299673817356
1984-05-01,9.05022353152869
1984-06-01,10.080186654476
1984-07-01,9.72466766958673
1984-08-01,9.349208255734
1984-09-01,11.748073391284
1984-10-01,10.4371986364108
1984-11-01,10.5263376674186
1984-12-01,11.9772318197023
1985-01-01,11.7592623142395
1985-02-01,10.8652460303697
1985-03-01,10.1622895878452
1985-04-01,8.19533579264864
1985-05-01,7.19583929607517
1985-06-01,8.49392906572883
1985-07-01,10.3129983324072
1985-08-01,12.0495633121291
1985-09-01,11.1174031746806
1985-10-01,10.616449226659
1985-11-01,13.9729386379311
1985-12-01,15.0730453195001
1986-01-01,14.372350612334
1986-02-01,12.7162572340223
1986-03-01,4.77018576799688
1986-04-01,0.780003209052493
1986-05-01,1.39908695970441
1986-06-01,1.27213974966598
1986-07-01,1.71030699984629
1986-08-01,3.55311008748136
1986-09-01,1.71559599894644
1986-10-01,1.90312887367812
1986-11-01,5.45229256771305
1986-12-01,11.6501578923634
1987-01-01,13.2085420443698
1987-02-01,12.6369622828461
1987-03-01,16.3718886126484
1987-04-01,19.0992440017466
1987-05-01,21.4513604362137
1987-06-01,19.7114041003811
1987-07-01,9.21006335448926
1987-08-01,4.87033868986431
1987-09-01,7.78112778452082
1987-10-01,11.2201362464978
1987-11-01,15.0790605790378
1987-12-01,14.149476080044
1988-01-01,18.8894119486055
1988-02-01,15.6999192311274
1988-03-01,17.6005096449912
1988-04-01,19.289611020104
1988-05-01,17.4196102684731
1988-06-01,21.9999567113798
1988-07-01,21.9100827347729
1988-08-01,21.5899025433588
1988-09-01,27.4500566281219
1988-10-01,25.6199502763823
1988-11-01,27.9401182575175
1988-12-01,28.7000421554845
1989-01-01,37.4900131389703
1989-02-01,16.7799911109576
1989-03-01,6.81999298355687
1989-04-01,8.33001328407432
1989-05-01,17.9199698809895
1989-06-01,28.6499913805517
1989-07-01,27.7399781982557
1989-08-01,33.7100177014151
1989-09-01,37.5599986814975
1989-10-01,39.7699962388339
1989-11-01,47.8200013523556
1989-12-01,51.4999991811612
1990-01-01,67.5500022769304
1990-02-01,75.7299986066639
1990-03-01,82.3899996561932
1990-04-01,15.5199994367887
1990-05-01,7.58999959346331
1990-06-01,11.7500003554595
1990-07-01,12.9199996725029
1990-08-01,12.8800001004814
1990-09-01,14.4100001331324
1990-10-01,14.360000224235
1990-11-01,16.8099997421144
1990-12-01,18.4400001214591
1991-01-01,20.7499999998929
1991-02-01,20.7204968944973
1991-03-01,11.9228922274432
1991-04-01,4.98927367451969
1991-05-01,7.43184073796834
1991-06-01,11.1890011954962
1991-07-01,12.4089731684533
1991-08-01,15.6304347826289
1991-09-01,15.6307576611999
1991-10-01,20.229578563966
1991-11-01,25.2102885889731
1991-12-01,23.7093359830779
1992-01-01,25.9402828706209
1992-02-01,24.3199401048005
1992-03-01,21.4002921922404
1992-04-01,19.9299992650712
1992-05-01,24.8600163920702
1992-06-01,20.2102990073923
1992-07-01,21.8300586884413
1992-08-01,22.1400266414289
1992-09-01,24.6299471843048
1992-10-01,25.2399586126395
1992-11-01,22.4900410224186
1992-12-01,25.2399667786607
1993-01-01,30.3499532354874
1993-02-01,24.9800016701904
1993-03-01,27.2600190080482
1993-04-01,27.7499668387366
1993-05-01,27.6899864531981
1993-06-01,30.0700118119261
1993-07-01,30.7200038551982
1993-08-01,32.9600084092141
1993-09-01,35.6899970044235
1993-10-01,33.9199998011862
1993-11-01,35.5600051465149
1993-12-01,36.8400014419342
1994-01-01,41.31
1994-02-01,40.2731583044371
1994-03-01,42.7504792654626
1994-04-01,42.6809443030817
1994-05-01,44.029425606222
1994-06-01,47.4298784157939
1994-07-01,6.84015910602014
1994-08-01,1.86040417935869
1994-09-01,1.5295239932688
1994-10-01,2.6202440775305
1994-11-01,2.8094973561303
1994-12-01,1.7100773487297
1995-01-01,1.7000177085178
1995-02-01,1.01959873856095
1995-03-01,1.55035048071399
1995-04-01,2.43
1995-05-01,2.67
1995-06-01,2.26
1995-07-01,2.36
1995-08-01,0.99
1995-09-01,0.99
1995-10-01,1.41
1995-11-01,1.47
1995-12-01,1.56
1996-01-01,1.34
1996-02-01,1.03
1996-03-01,0.35
1996-04-01,1.26
1996-05-01,1.22
1996-06-01,1.19
1996-07-01,1.11
1996-08-01,0.44
1996-09-01,0.15
1996-10-01,0.3
1996-11-01,0.32
1996-12-01,0.47
1997-01-01,1.18
1997-02-01,0.5
1997-03-01,0.51
1997-04-01,0.88
1997-05-01,0.41
1997-06-01,0.54
